station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-04-2023,1.08546,17.38436,32.9868,176.1,65.2,,20.08492,2023,4,1,Saturday,,115.337931,150.8986577,21.73045,25.10615,55.18754,32.9868,150.8986577
Bollaram Industrial Area,07-04-2023,0.749975,6.0818,22.66413333,130.6666667,41.5,55.16666667,15.02133333,2023,4,7,Friday,,68.74137931,120.7114094,7.60225,18.77666667,37.49875,22.66413333,120.7114094
Bollaram Industrial Area,08-04-2023,1.2909875,3.702033333,20.27375,89.16666667,34.45833333,55.325,16.77891667,2023,4,8,Saturday,,56.8433908,89.16666667,4.627541667,20.97364583,65.2583875,20.27375,89.16666667
Bollaram Industrial Area,09-04-2023,1.397377083,3.467816667,18.80375,120.2916667,43.33333333,49.97916667,10.14158333,2023,4,9,Sunday,,71.83908046,113.817953,4.334770833,12.67697917,70.47147708,18.80375,113.817953
Bollaram Industrial Area,10-04-2023,1.218947917,4.136783292,19.17778333,124.4583333,42.95833333,42.92916667,9.077208375,2023,4,10,Monday,,71.20545977,116.5864094,5.170979115,11.34651047,61.72844792,19.17778333,116.5864094
Bollaram Industrial Area,11-04-2023,1.132595833,3.798383329,18.03935004,123.875,49.20833333,44.42916667,10.25184179,2023,4,11,Tuesday,,81.7658046,116.1988255,4.747979161,12.81480224,57.49719583,18.03935004,116.1988255
Bollaram Industrial Area,12-04-2023,1.272858333,3.182683288,17.9585,181.9166667,65.625,43.15416667,26.02205833,2023,4,12,Wednesday,,116.7887931,154.7634228,3.978354109,32.52757292,64.37005833,17.9585,154.7634228
Bollaram Industrial Area,13-04-2023,1.365889583,2.560716667,18.61428333,170.7916667,61.20833333,43.73333333,18.65330829,2023,4,13,Thursday,,101.7112069,147.3716443,3.200895833,23.31663536,68.92858958,18.61428333,147.3716443
Bollaram Industrial Area,14-04-2023,1.45166087,4.6436,21.78412174,154.8695652,66.43478261,50.12608696,17.82966957,2023,4,14,Friday,,119.5532234,136.7925299,5.8045,22.28708696,73.13138261,21.78412174,136.7925299
Bollaram Industrial Area,15-04-2023,0.875925,4.569966667,18.38725,110.2380952,35.38095238,51.76666667,14.63051667,2023,4,15,Saturday,,58.40229885,107.1380633,5.712458333,18.28814583,43.79625,18.38725,107.1380633
Bollaram Industrial Area,16-04-2023,1.397377083,8.099666625,18.89848333,153.8333333,57.33333333,48.47916667,26.7109,2023,4,16,Sunday,,95.49425287,136.1040268,10.12458328,33.388625,70.47147708,18.89848333,136.1040268
Bollaram Industrial Area,17-04-2023,1.5715125,5.578116625,18.20513333,208.2916667,77.125,44.8125,35.95295042,2023,4,17,Monday,,156.0474138,172.2877517,6.972645781,44.94118802,79.0041125,18.20513333,172.2877517
Bollaram Industrial Area,18-04-2023,1.247095833,0.899266667,15.25696667,156.5,61.5,38.21666667,11.37407496,2023,4,18,Tuesday,,102.7068966,137.8758389,1.124083333,14.2175937,63.10769583,15.25696667,137.8758389
Bollaram Industrial Area,19-04-2023,1.1192375,2.494916667,15.50768333,159.7916667,66.625,41.60416667,14.59994996,2023,4,19,Wednesday,,120.2025862,140.0629195,3.118645833,18.24993745,56.8426375,15.50768333,140.0629195
Bollaram Industrial Area,20-04-2023,0.839666667,3.085549958,16.40928333,146.875,62.66666667,43.87083333,17.16645833,2023,4,20,Thursday,,106.6896552,131.4807047,3.856937448,21.45807292,41.98333333,16.40928333,131.4807047
Bollaram Industrial Area,21-04-2023,0.9188625,6.196949917,17.7282,118.4166667,48.41666667,51.89583333,16.00055833,2023,4,21,Friday,,80.42816092,112.5721477,7.746187396,20.00069792,45.943125,17.7282,112.5721477
Bollaram Industrial Area,22-04-2023,0.564172727,7.293582609,16.61568691,88.26086957,39.7826087,58.555,10.99260878,2023,4,22,Saturday,,65.83958021,88.26086957,9.116978261,13.74076098,28.20863636,16.61568691,88.26086957
Bollaram Industrial Area,23-04-2023,,10.99904439,14.63793333,99.5,45.66666667,61.13888889,14.99658889,2023,4,23,Sunday,,75.7816092,99.5,13.74880549,18.74573611,0,14.63793333,99.5
Bollaram Industrial Area,24-04-2023,0.42136,8.686417391,15.47377391,65.52173913,26,64.67391304,9.390991348,2023,4,24,Monday,,43.33333333,65.52173913,10.85802174,11.73873918,21.068,15.47377391,65.52173913
Bollaram Industrial Area,25-04-2023,0.34493125,8.79135,19.2913,70.45833333,25.33333333,70.4375,8.23771675,2023,4,25,Tuesday,,42.22222222,70.45833333,10.9891875,10.29714594,17.2465625,19.2913,70.45833333
Bollaram Industrial Area,26-04-2023,1.069330435,12.29029565,13.96798261,56.04347826,22.7826087,71.86956522,10.50050439,2023,4,26,Wednesday,,37.97101449,56.04347826,15.36286957,13.12563049,54.3971913,13.96798261,56.04347826
