station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-08-2023,0.222797917,24.78623333,14.13241667,42.625,17.58333333,83.94583333,4.885208292,2023,8,1,Tuesday,,29.30555556,42.625,30.98279167,6.106510365,11.13989583,14.13241667,42.625
Bollaram Industrial Area,02-08-2023,0.22470625,24.5951,14.00583333,55.16666667,18.20833333,81.32916667,6.843658333,2023,8,2,Wednesday,,30.34722222,55.16666667,30.743875,8.554572917,11.2353125,14.00583333,55.16666667
Bollaram Industrial Area,03-08-2023,0.318691667,28.68723333,15.31495,68.875,23.79166667,80.57083333,5.700683292,2023,8,3,Thursday,,39.65277778,68.875,35.85904167,7.125854115,15.93458333,15.31495,68.875
Bollaram Industrial Area,04-08-2023,0.328233333,34.74631667,17.47421667,89.83333333,27,77.43333333,3.487875,2023,8,4,Friday,,45,89.83333333,43.43289583,4.35984375,16.41166667,17.47421667,89.83333333
Bollaram Industrial Area,05-08-2023,0.30771875,32.7073,15.65386667,82.79166667,22.125,74.425,2.438783333,2023,8,5,Saturday,,36.875,82.79166667,40.884125,3.048479167,15.3859375,15.65386667,82.79166667
Bollaram Industrial Area,06-08-2023,0.27909375,34.87321667,15.7584,76.20833333,22.625,75.125,3.4322,2023,8,6,Sunday,,37.70833333,76.20833333,43.59152083,4.29025,13.9546875,15.7584,76.20833333
Bollaram Industrial Area,07-08-2023,0.264622222,38.28828889,15.141,104.7222222,26.05555556,74.73333333,3.769888889,2023,8,7,Monday,,43.42592593,103.4731544,47.86036111,4.712361111,13.23111111,15.141,103.4731544
Bollaram Industrial Area,08-08-2023,0.440384615,46.78886154,14.85076923,185,46.15384615,67.40769231,4.407646154,2023,8,8,Tuesday,,76.60477454,156.8120805,58.27318501,5.509557692,22.01923077,14.85076923,156.8120805
Bollaram Industrial Area,09-08-2023,0.480226471,34.35312941,14.40830588,119.4705882,35.47058824,68.70588235,4.652811765,2023,8,9,Wednesday,,58.55375254,113.2724043,42.94141176,5.816014706,24.01132353,14.40830588,113.2724043
Bollaram Industrial Area,10-08-2023,0.441302083,33.96455,21.91606667,152.75,40.875,72.17083333,3.921266671,2023,8,10,Thursday,,67.68534483,135.3842282,42.4556875,4.901583339,22.06510417,21.91606667,135.3842282
Bollaram Industrial Area,11-08-2023,0.4288025,23.00932005,32.69084,121.85,33.55,70.495,4.1396,2023,8,11,Friday,,55.30862069,114.8533557,28.76165006,5.1745,21.440125,32.69084,114.8533557
Bollaram Industrial Area,12-08-2023,0.542920833,38.47028333,33.40575,169.9166667,49.16666667,76.84583333,3.211683338,2023,8,12,Saturday,,81.6954023,146.7902685,48.08785417,4.014604172,27.14604167,33.40575,146.7902685
Bollaram Industrial Area,13-08-2023,0.4351,35.83593333,33.66055,122.7916667,37.75,70.20416667,4.57845,2023,8,13,Sunday,,62.40517241,115.4790268,44.79491667,5.7230625,21.755,33.66055,115.4790268
Bollaram Industrial Area,14-08-2023,0.384052083,26.13356667,33.2857,100.5833333,30.45833333,72.59166667,4.848091667,2023,8,14,Monday,,50.08477011,100.7231544,32.66695833,6.060114583,19.20260417,33.2857,100.7231544
Bollaram Industrial Area,15-08-2023,0.340160417,24.04911667,33.11746667,92.08333333,29.91666667,74.54166667,3.555558333,2023,8,15,Tuesday,,49.86111111,92.08333333,30.06139583,4.444447917,17.00802083,33.11746667,92.08333333
Bollaram Industrial Area,16-08-2023,0.395025,23.1287,33.075,138.2916667,41.33333333,73.64583333,4.6898,2023,8,16,Wednesday,,68.45977011,125.7776846,28.910875,5.86225,19.75125,33.075,125.7776846
Bollaram Industrial Area,17-08-2023,0.421741667,32.68536667,33.36491667,129.7916667,42.41666667,75.52083333,6.119883333,2023,8,17,Thursday,,70.29022989,120.1300336,40.85670833,7.649854167,21.08708333,33.36491667,120.1300336
Bollaram Industrial Area,18-08-2023,0.324178125,26.720675,32.42085,106.4375,36,80.525,3.6156,2023,8,18,Friday,,59.44827586,104.6128356,33.40084375,4.5195,16.20890625,32.42085,104.6128356
Bollaram Industrial Area,19-08-2023,0.421264583,26.46491667,32.90431667,106.75,35.91666667,92.0875,3.701841667,2023,8,19,Saturday,,59.30747126,104.8204698,33.08114583,4.627302083,21.06322917,32.90431667,104.8204698
Bollaram Industrial Area,20-08-2023,0.373079167,31.02078333,33.80591667,121.2083333,41.79166667,81.10833333,4.907041625,2023,8,20,Sunday,,69.2341954,114.4270134,38.77597917,6.133802031,18.65395833,33.80591667,114.4270134
Bollaram Industrial Area,21-08-2023,0.428420833,25.12385,33.55846667,146.25,45.83333333,76.20416667,4.639583333,2023,8,21,Monday,,76.06321839,131.0654362,31.4048125,5.799479167,21.42104167,33.55846667,131.0654362
Bollaram Industrial Area,22-08-2023,0.655035417,28.27755,33.21138333,146.0416667,39.33333333,77.18333333,4.007508333,2023,8,22,Tuesday,,65.08045977,130.9270134,35.3469375,5.009385417,32.75177083,33.21138333,130.9270134
Bollaram Industrial Area,23-08-2023,0.542920833,28.23995,33.22445,113.75,31.33333333,76.65833333,4.004233333,2023,8,23,Wednesday,,51.56321839,109.4714765,35.2999375,5.005291667,27.14604167,33.22445,109.4714765
Bollaram Industrial Area,24-08-2023,0.543875,32.24591667,33.47843333,152.875,38.45833333,71.3125,7.206091667,2023,8,24,Thursday,,63.60201149,135.4672819,40.30739583,9.007614583,27.19375,33.47843333,135.4672819
Bollaram Industrial Area,25-08-2023,0.515727083,28.85878333,33.08398333,118.2916667,27.45833333,69.975,5.494358333,2023,8,25,Friday,,45.76388889,112.489094,36.07347917,6.867947917,25.78635417,33.08398333,112.489094
Bollaram Industrial Area,26-08-2023,0.37785,24.00995,33.32245,76.625,20.33333333,76.4,2.313241667,2023,8,26,Saturday,,33.88888889,76.625,30.0124375,2.891552083,18.8925,33.32245,76.625
