station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-12-2023,0.534810417,22.2216,39.36006667,71.625,44.375,63.82916667,9.917791792,2023,12,1,Friday,,73.59913793,71.625,27.777,12.39723974,26.74052083,39.36006667,73.59913793
Bollaram Industrial Area,02-12-2023,0.647402083,22.65948333,38.80718333,91.25,60.625,63.54166667,10.56296671,2023,12,2,Saturday,,99.71982759,91.25,28.32435417,13.20370839,32.37010417,38.80718333,99.71982759
Bollaram Industrial Area,03-12-2023,0.452752083,19.94366667,38.29595,55.83333333,32.75,64.30416667,12.12623333,2023,12,3,Sunday,,53.95689655,55.83333333,24.92958333,15.15779167,22.63760417,38.29595,55.83333333
Bollaram Industrial Area,04-12-2023,0.53385625,20.59696667,38.42498333,70.125,47.66666667,72.39166667,10.71907504,2023,12,4,Monday,,79.16091954,70.125,25.74620833,13.3988438,26.6928125,38.42498333,79.16091954
Bollaram Industrial Area,05-12-2023,0.479945833,18.3582,38.3915,40.54166667,33.83333333,87.09166667,10.59571667,2023,12,5,Tuesday,,55.78735632,40.54166667,22.94775,13.24464583,23.99729167,38.3915,55.78735632
Bollaram Industrial Area,06-12-2023,0.477560417,13.47646667,38.68713333,51.58333333,38.58333333,87.2875,10.64156667,2023,12,6,Wednesday,,63.81321839,51.58333333,16.84558333,13.30195833,23.87802083,38.68713333,63.81321839
Bollaram Industrial Area,07-12-2023,0.395502083,17.28111663,38.29105,44.29166667,25.70833333,87.30416667,10.98871675,2023,12,7,Thursday,,42.84722222,44.29166667,21.60139578,13.73589594,19.77510417,38.29105,44.29166667
Bollaram Industrial Area,08-12-2023,0.481377083,25.03533333,38.09015,64.58333333,38.875,74.1625,12.37840833,2023,12,8,Friday,,64.30603448,64.58333333,31.29416667,15.47301042,24.06885417,38.09015,64.58333333
Bollaram Industrial Area,09-12-2023,0.441302083,23.48041667,37.40905,73.45833333,39.375,66.86666667,12.08365837,2023,12,9,Saturday,,65.15086207,73.45833333,29.35052083,15.10457297,22.06510417,37.40905,73.45833333
Bollaram Industrial Area,10-12-2023,0.421741667,23.09736667,37.92355,70.875,40.95833333,60.86666667,12.86638333,2023,12,10,Sunday,,67.82614943,70.875,28.87170833,16.08297917,21.08708333,37.92355,70.875
Bollaram Industrial Area,11-12-2023,0.546260417,26.96076667,37.79288333,91.66666667,52.70833333,59.39583333,15.9165,2023,12,11,Monday,,87.6795977,91.66666667,33.70095833,19.895625,27.31302083,37.79288333,91.66666667
Bollaram Industrial Area,12-12-2023,0.495212504,28.64728333,37.91701667,89.83333333,47.16666667,60.075,15.43835,2023,12,12,Tuesday,,78.31609195,89.83333333,35.80910417,19.2979375,24.76062521,37.91701667,89.83333333
Bollaram Industrial Area,13-12-2023,0.5639125,27.93288333,38.17181667,96.91666667,55.70833333,63.35416667,12.22994171,2023,12,13,Wednesday,,92.74856322,96.91666667,34.91610417,15.28742714,28.195625,38.17181667,96.91666667
Bollaram Industrial Area,14-12-2023,0.536241671,26.18761667,38.97705,94,55.70833333,62.67916667,11.67100829,2023,12,14,Thursday,,92.74856322,94,32.73452083,14.58876036,26.81208354,38.97705,94
Bollaram Industrial Area,15-12-2023,0.630704167,31.87696667,38.1318,114,60.95833333,63.64166667,10.4538,2023,12,15,Friday,,100.8577586,109.6375839,39.84620833,13.06725,31.53520833,38.1318,109.6375839
Bollaram Industrial Area,16-12-2023,0.731368754,29.82541667,38.49113333,141.5416667,89,74.39166667,10.37738333,2023,12,16,Saturday,,196.5862069,127.9370805,37.28177083,12.97172917,36.56843771,38.49113333,196.5862069
Bollaram Industrial Area,17-12-2023,0.593014583,21.31293333,38.26655,119.125,78.91666667,68.07916667,11.21469171,2023,12,17,Sunday,,162.1637931,113.0427852,26.64116667,14.01836464,29.65072917,38.26655,162.1637931
Bollaram Industrial Area,18-12-2023,0.573454167,21.36698333,39.5283,121.0416667,82.75,60.46666667,17.84984167,2023,12,18,Monday,,175.25,114.3162752,26.70872917,22.31230208,28.67270833,39.5283,175.25
Bollaram Industrial Area,19-12-2023,0.634997917,23.00023333,38.22326667,118.2083333,79.04166667,60.25416667,20.30281667,2023,12,19,Tuesday,,162.5905172,112.4337248,28.75029167,25.37852083,31.74989583,38.22326667,162.5905172
Bollaram Industrial Area,20-12-2023,0.689385417,29.52853333,38.15221667,130.4583333,82.08333333,57.54583333,28.16718333,2023,12,20,Wednesday,,172.9741379,120.5729866,36.91066667,35.20897917,34.46927083,38.15221667,172.9741379
Bollaram Industrial Area,21-12-2023,0.7700125,34.12043333,38.02971667,143.4166667,81.41666667,50.4,29.60381667,2023,12,21,Thursday,,170.6982759,129.1828859,42.65054167,37.00477083,38.500625,38.02971667,170.6982759
Bollaram Industrial Area,22-12-2023,0.809133333,40.58214958,38.03461667,155.125,85.45833333,50.07916667,25.39980833,2023,12,22,Friday,,184.4956897,136.9622483,50.47500845,31.74976042,40.45666667,38.03461667,184.4956897
Bollaram Industrial Area,23-12-2023,0.866383333,33.12795,38.26246667,160.4583333,106.0416667,64.45833333,15.7331,2023,12,23,Saturday,,252.3491379,140.5058725,41.4099375,19.666375,43.31916667,38.26246667,252.3491379
Bollaram Industrial Area,24-12-2023,0.955120833,35.78736667,38.122,175.9166667,131.6666667,79.36666667,10.70925008,2023,12,24,Sunday,,309.1860465,150.7768456,44.73420833,13.3865626,47.75604167,38.122,309.1860465
Bollaram Industrial Area,26-12-2023,1.1908,38.43525714,38.1318,167.5714286,103.2857143,56.8625,11.78251429,2023,12,26,Tuesday,,242.9408867,145.232023,48.04407143,14.72814286,60.3492,38.1318,242.9408867
Bollaram Industrial Area,27-12-2023,0.796729171,23.77338333,38.33106667,128.125,92.79166667,70.94583333,9.876308333,2023,12,27,Wednesday,,207.1163793,119.022651,29.71672917,12.34538542,39.83645854,38.33106667,207.1163793
Bollaram Industrial Area,28-12-2023,0.765241667,24.30996667,38.71,128.0416667,90.625,71.5125,7.797775,2023,12,28,Thursday,,199.7198276,118.9672819,30.38745833,9.74721875,38.26208333,38.71,199.7198276
Bollaram Industrial Area,29-12-2023,0.6383375,24.21596667,38.28125,102.1666667,66.91666667,71.64583333,10.66776667,2023,12,29,Friday,,121.1982759,101.7751678,30.26995833,13.33470833,31.916875,38.28125,121.1982759
Bollaram Industrial Area,30-12-2023,0.658852083,24.60841667,38.20611667,103.6666667,67.125,68.10833333,10.14704167,2023,12,30,Saturday,,121.9094828,102.7718121,30.76052083,12.68380208,32.94260417,38.20611667,121.9094828
Bollaram Industrial Area,31-12-2023,0.65694375,19.5708,38.2984,100.125,69.83333333,66.98333333,10.65575842,2023,12,31,Sunday,,131.1551724,100.4186242,24.4635,13.31969802,32.8471875,38.2984,131.1551724
Central University,01-12-2023,1.015233333,21.96153338,3.593333333,57,21.79166667,58.00416667,6.066391625,2023,12,1,Friday,,36.31944444,57,27.45191672,7.582989531,51.74643333,3.593333333,57
