station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-02-2023,1.423616667,3.055,18.14551667,165.3333333,105.4583333,61.725,21.09318333,2023,2,1,Wednesday,,250.3577586,143.7449664,3.81875,26.36647917,71.75721667,18.14551667,250.3577586
Bollaram Industrial Area,02-02-2023,1.297666667,2.675866667,18.40113333,123.25,67.79166667,53.87916667,16.483075,2023,2,2,Thursday,,124.1853448,115.783557,3.344833333,20.60384375,65.58566667,18.40113333,124.1853448
Bollaram Industrial Area,03-02-2023,1.308639583,6.404533333,18.33988333,118,50.16666667,42.475,18.12603333,2023,2,3,Friday,,83.38505747,112.295302,8.005666667,22.65754167,66.12333958,18.33988333,112.295302
Bollaram Industrial Area,04-02-2023,1.501858333,7.284216708,18.47545,158.2083333,74.20833333,45.57916667,28.951,2023,2,4,Saturday,,146.0905172,139.010906,9.105270885,36.18875,75.59105833,18.47545,146.0905172
Bollaram Industrial Area,05-02-2023,1.29528125,6.869833292,18.25413333,145.3333333,68,46.4,22.5189,2023,2,5,Sunday,,124.8965517,130.4563758,8.587291615,28.148625,65.46878125,18.25413333,130.4563758
Bollaram Industrial Area,06-02-2023,0.939377083,6.602716708,17.83845,147.9583333,74.91666667,54.00833333,19.76135,2023,2,6,Monday,,148.5086207,132.2005034,8.253395885,24.7016875,46.96885417,17.83845,148.5086207
Bollaram Industrial Area,07-02-2023,1.08631875,6.284683333,18.03935,160.0416667,77.58333333,59.10833333,13.62945838,2023,2,7,Tuesday,,157.612069,140.2290268,7.855854167,17.03682297,55.22961875,18.03935,157.612069
Bollaram Industrial Area,08-02-2023,1.307107895,3.614547368,18.18570526,133.0526316,66.68421053,56.07894737,12.16645263,2023,2,8,Wednesday,,120.4047187,122.2967149,4.518184211,15.20806579,66.04828684,18.18570526,122.2967149
Bollaram Industrial Area,09-02-2023,1.18650625,7.106399917,18.14061667,156.6521739,72.375,50.93333333,15.68069996,2023,2,9,Thursday,,139.8318966,137.9769478,8.882999896,19.60087495,60.13880625,18.14061667,139.8318966
Bollaram Industrial Area,10-02-2023,1.213222917,11.7735,18.4779,201.5833333,82.375,43.17916667,30.9422,2023,2,10,Friday,,173.9698276,167.8305369,14.716875,38.67775,61.44792292,18.4779,173.9698276
Bollaram Industrial Area,11-02-2023,1.4341125,13.04328333,18.02873333,212,89.33333333,41.9625,20.43054167,2023,2,11,Saturday,,197.7241379,174.7516779,16.30410417,25.53817708,72.2715125,18.02873333,197.7241379
Bollaram Industrial Area,12-02-2023,1.480389583,8.509349958,18.32436667,300.5,120.0833333,45.9875,53.58773333,2023,2,12,Sunday,,300.2965116,250.5,10.63668745,66.81535726,74.53908958,18.32436667,300.2965116
Bollaram Industrial Area,13-02-2023,1.301960417,3.234383333,17.7478,133.1666667,46.79166667,44.14166667,14.871775,2023,2,13,Monday,,77.68247126,122.3724832,4.042979167,18.58971875,65.79606042,17.7478,122.3724832
Bollaram Industrial Area,14-02-2023,1.413120833,3.9809,17.48646667,124.0833333,53.625,38.9875,16.25164167,2023,2,14,Tuesday,,89.22844828,116.3372483,4.976125,20.31455208,71.24292083,17.48646667,116.3372483
Bollaram Industrial Area,15-02-2023,1.390697921,7.871716625,17.48728333,208.25,90.91666667,40.52916667,42.42107504,2023,2,15,Wednesday,,200.7155172,172.2600671,9.839645781,52.78545326,70.14419812,17.48728333,200.7155172
Bollaram Industrial Area,16-02-2023,1.1221,7.003,17.8311,205.4166667,88.45833333,39.65416667,53.59755833,2023,2,16,Thursday,,194.737069,170.3775168,8.75375,66.8277015,56.9829,17.8311,194.737069
Bollaram Industrial Area,17-02-2023,0.971341667,6.99125,17.37458333,214.75,88.33333333,42.25833333,51.83888333,2023,2,17,Friday,,194.3103448,176.5788591,8.7390625,64.61808419,48.56708333,17.37458333,194.3103448
Bollaram Industrial Area,18-02-2023,1.611110417,10.01648333,17.6841,211.1666667,97.54166667,51.13333333,33.95410833,2023,2,18,Saturday,,223.3318966,174.1979866,12.52060417,42.44263542,80.94441042,17.6841,223.3318966
Bollaram Industrial Area,19-02-2023,1.44413125,3.314283333,18.04506667,132.7083333,68.04166667,59.58333333,20.30390833,2023,2,19,Sunday,,125.0387931,122.067953,4.142854167,25.37988542,72.76243125,18.04506667,125.0387931
Bollaram Industrial Area,20-02-2023,1.521633417,6.054712375,17.96092542,156.4583333,68.58333333,54.05783333,15.79865463,2023,2,20,Monday,,126.887931,137.8481544,7.568390469,19.74831828,76.56003742,17.96092542,137.8481544
Bollaram Industrial Area,21-02-2023,1.25967745,7.0908619,17.825827,162.05,69.3,47.3277,12.28664715,2023,2,21,Tuesday,,129.3344828,141.5634228,8.863577375,15.35830894,63.72419505,17.825827,141.5634228
Bollaram Industrial Area,22-02-2023,1.312660714,4.444857214,25.739,156.1428571,63,39.70714286,20.79718571,2023,2,22,Wednesday,,107.8275862,137.6385427,5.556071518,25.99648214,66.320375,25.739,137.6385427
Bollaram Industrial Area,23-02-2023,1.38974375,7.530183333,21.34521667,178.625,77.91666667,45.7125,21.24165,2023,2,23,Thursday,,158.75,152.5763423,9.412729167,26.5520625,70.09744375,21.34521667,158.75
Bollaram Industrial Area,24-02-2023,1.500427083,8.141966625,17.86785,220.9583333,106.25,48.07083333,37.11011667,2023,2,24,Friday,,253.0603448,180.7038591,10.17745828,46.38764583,75.52092708,17.86785,253.0603448
Bollaram Industrial Area,25-02-2023,1.539547917,8.284533292,17.3362,209.5,93.04166667,41.875,46.44386667,2023,2,25,Saturday,,207.9698276,173.090604,10.35566661,57.83972991,77.43784792,17.3362,207.9698276
Bollaram Industrial Area,26-02-2023,1.467508333,6.940333333,17.68655,151.2916667,67.95833333,40.74166667,19.10198333,2023,2,26,Sunday,,124.7543103,134.4152685,8.675416667,23.87747917,73.90790833,17.68655,134.4152685
Bollaram Industrial Area,27-02-2023,1.383064583,4.208066625,17.34926667,129.0833333,59.66666667,43.55,18.48955833,2023,2,27,Monday,,99.43678161,119.659396,5.260083281,23.11194792,69.77016458,17.34926667,119.659396
