station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-01-2023,1.281445833,7.05235,18.17573333,107.1666667,61.54166667,74.78041667,8.970225,2023,1,1,Sunday,,102.8491379,105.0973154,8.8154375,11.21278125,64.79084583,18.17573333,105.0973154
Bollaram Industrial Area,02-01-2023,1.251866667,3.684016667,19.6,124,57.875,78.44833333,8.972408417,2023,1,2,Monday,,96.40948276,116.2818792,4.605020833,11.21551052,63.34146667,19.6,116.2818792
Bollaram Industrial Area,03-01-2023,1.360914286,5.331142786,19.4712,132.1428571,65.71428571,83.75714286,9.652828571,2023,1,3,Tuesday,,117.0935961,121.6922339,6.663928482,12.06603571,68.6848,19.4712,121.6922339
Bollaram Industrial Area,04-01-2023,1.100080777,3.196,18.68935385,113.6153846,51.61538462,65.88846154,6.880523,2023,1,4,Wednesday,,85.83289125,109.3820341,3.995,8.60065375,55.90395807,18.68935385,109.3820341
Bollaram Industrial Area,05-01-2023,1.158835417,2.935933292,19.71188333,107.375,68.375,73.72173913,7.000858333,2023,1,5,Thursday,,126.1767241,105.2357383,3.669916615,8.751072917,58.78293542,19.71188333,126.1767241
Bollaram Industrial Area,06-01-2023,1.544932143,7.003494789,13.86504,146.4210526,113.1052632,74.55833333,7.654536842,2023,1,6,Friday,,276.4627949,131.1790887,8.754368487,9.568171053,77.701675,13.86504,276.4627949
Bollaram Industrial Area,07-01-2023,1.83343125,5.159816667,15.66693333,157.9583333,103.7916667,66.3,20.27661667,2023,1,7,Saturday,,244.6681034,138.8447987,6.449770833,25.34577083,91.83813125,15.66693333,244.6681034
Bollaram Industrial Area,08-01-2023,1.385450004,8.38245,17.76495,165.7083333,99.33333333,51.13333333,51.04305792,2023,1,8,Sunday,,229.4482759,143.9941275,10.4780625,63.61820097,69.8870502,17.76495,229.4482759
Bollaram Industrial Area,09-01-2023,1.311025,9.92875,17.22431667,188.0416667,99.54166667,44.77916667,52.62706708,2023,1,9,Monday,,230.1594828,158.8330537,12.4109375,65.60836634,66.240225,17.22431667,230.1594828
Bollaram Industrial Area,10-01-2023,1.430772917,8.000966667,17.29536667,156.375,83.58333333,47.06666667,37.73018292,2023,1,10,Tuesday,,178.0948276,137.7927852,10.00120833,47.16272865,72.10787292,17.29536667,178.0948276
Bollaram Industrial Area,11-01-2023,1.760914583,18.14043338,16.92541667,284.5,146.25,52.84583333,55.527625,2023,1,11,Wednesday,,320.377907,234.5,22.67554172,69.25265705,88.28481458,16.92541667,320.377907
Bollaram Industrial Area,12-01-2023,1.494702083,12.69313333,17.12795,171.7916667,80.54166667,53.47083333,16.16976667,2023,1,12,Thursday,,167.7112069,148.0360738,15.86641667,20.21220833,75.24040208,17.12795,167.7112069
Bollaram Industrial Area,13-01-2023,1.55863125,12.5537,17.39908333,179.4583333,87.29166667,56.4875,17.93826667,2023,1,13,Friday,,190.7543103,153.1300336,15.692125,22.42283333,78.37293125,17.39908333,190.7543103
Bollaram Industrial Area,14-01-2023,1.52714375,7.136166625,17.26923333,126.6666667,83.25,58.41666667,12.84236671,2023,1,14,Saturday,,176.9568966,118.0536913,8.920208281,16.05295839,76.83004375,17.26923333,176.9568966
Bollaram Industrial Area,15-01-2023,1.416460417,3.333083333,17.03403333,106.7916667,71.83333333,60.25,11.89698333,2023,1,15,Sunday,,137.9827586,104.8481544,4.166354167,14.87122917,71.40656042,17.03403333,137.9827586
Bollaram Industrial Area,16-01-2023,1.271427083,2.271666667,17.10181667,75.54166667,47.20833333,57.3,13.34562504,2023,1,16,Monday,,78.38649425,75.54166667,2.839583333,16.6820313,64.29992708,17.10181667,78.38649425
Bollaram Industrial Area,17-01-2023,0.80006875,4.269166667,16.99238333,89.66666667,44.66666667,57.41666667,14.69601667,2023,1,17,Tuesday,,74.09195402,89.66666667,5.336458333,18.37002083,40.0034375,16.99238333,89.66666667
Bollaram Industrial Area,18-01-2023,1.484712,5.496359917,15.19685167,98.33333333,46.95833333,61.42854167,14.35511167,2023,1,18,Wednesday,,77.96408046,98.33333333,6.870449896,17.94388958,74.750888,15.19685167,98.33333333
Bollaram Industrial Area,19-01-2023,1.40405625,5.00785,14.89028333,102.7083333,55.375,61.19583333,11.16775004,2023,1,19,Thursday,,92.18534483,102.1350671,6.2598125,13.95968755,70.79875625,14.89028333,102.1350671
Bollaram Industrial Area,20-01-2023,1.403579167,4.682766667,15.08546667,102.4583333,61.29166667,61.7375,8.898175,2023,1,20,Friday,,101.9956897,101.9689597,5.853458333,11.12271875,70.77537917,15.08546667,101.9956897
Bollaram Industrial Area,21-01-2023,1.342989583,4.45325,16.72533333,106.5416667,60.04166667,61.91666667,9.405800042,2023,1,21,Saturday,,97.72844828,104.682047,5.5665625,11.75725005,67.80648958,16.72533333,104.682047
Bollaram Industrial Area,22-01-2023,1.128302083,6.306616667,17.8507,111.5833333,63.66666667,58.80416667,7.279233333,2023,1,22,Sunday,,110.1034483,108.0318792,7.883270833,9.099041667,57.28680208,17.8507,110.1034483
Bollaram Industrial Area,23-01-2023,1.263316667,3.600199996,18.1153,113.4166667,75.20833333,67.39166667,9.609941708,2023,1,23,Monday,,149.5043103,109.25,4.500249995,12.01242714,63.90251667,18.1153,149.5043103
Bollaram Industrial Area,24-01-2023,1.17505625,2.4111,20.9132,76.875,34.5,61.5625,6.876408458,2023,1,24,Tuesday,,56.9137931,76.875,3.013875,8.595510573,59.57775625,20.9132,76.875
Bollaram Industrial Area,25-01-2023,1.234214583,2.819216667,19.23168333,82.79166667,38.20833333,61.54166667,6.47576675,2023,1,25,Wednesday,,63.1795977,82.79166667,3.524020833,8.094708437,62.47651458,19.23168333,82.79166667
Bollaram Industrial Area,26-01-2023,1.196525,3.789766667,18.98995,97.95833333,54.91666667,58.22083333,10.12411667,2023,1,26,Thursday,,91.41091954,97.95833333,4.737208333,12.65514583,60.629725,18.98995,97.95833333
Bollaram Industrial Area,27-01-2023,1.036225,5.025866667,18.51301667,117.375,65.5,58,9.008433333,2023,1,27,Friday,,116.362069,111.8800336,6.282333333,11.26054167,52.775025,18.51301667,116.362069
Bollaram Industrial Area,28-01-2023,1.432204167,10.31023329,18.46646667,146.1666667,79.75,54.20416667,11.806375,2023,1,28,Saturday,,165.0086207,131.0100671,12.88779161,14.75796875,72.17800417,18.46646667,165.0086207
Bollaram Industrial Area,29-01-2023,1.247572917,7.031199996,18.375,149.125,88.83333333,57.70416667,20.01570875,2023,1,29,Sunday,,196.0172414,132.9756711,8.788999995,25.01963594,63.13107292,18.375,196.0172414
Bollaram Industrial Area,30-01-2023,1.3282,2.534866667,17.87356667,106.9583333,68.70833333,69.99166667,9.051008292,2023,1,30,Monday,,127.3146552,104.9588926,3.168583333,11.31376036,67.0818,17.87356667,127.3146552
