station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-07-2023,0.456506522,29.2241913,13.12347826,72.95652174,19.91304348,68.18695652,6.498739174,2023,7,1,Saturday,,33.1884058,72.95652174,36.53023913,8.123423967,22.82532609,13.12347826,72.95652174
Bollaram Industrial Area,02-07-2023,0.43366875,26.555,12.43048333,47.95833333,19.66666667,73.13333333,6.3142,2023,7,2,Sunday,,32.77777778,47.95833333,33.19375,7.89275,21.6834375,12.43048333,47.95833333
Bollaram Industrial Area,03-07-2023,0.919339583,28.34021667,11.91598333,58.58333333,20.91666667,76.81666667,7.936416667,2023,7,3,Monday,,34.86111111,58.58333333,35.42527083,9.920520833,45.96697917,11.91598333,58.58333333
Bollaram Industrial Area,04-07-2023,0.61686875,30.90485,12.66813333,56.75,19.20833333,74.04583333,7.641666625,2023,7,4,Tuesday,,32.01388889,56.75,38.6310625,9.552083281,30.8434375,12.66813333,56.75
Bollaram Industrial Area,05-07-2023,0.7230675,35.51038,12.75078,44.2,15.8,81.945,7.14081,2023,7,5,Wednesday,,26.33333333,44.2,44.387975,8.9260125,36.153375,12.75078,44.387975
Bollaram Industrial Area,06-07-2023,0.687995652,27.82890435,13.02292174,54.39130435,15.39130435,76.52173913,5.275313043,2023,7,6,Thursday,,25.65217391,54.39130435,34.78613043,6.594141304,34.39978261,13.02292174,54.39130435
Bollaram Industrial Area,07-07-2023,0.469970455,29.78347273,12.21703636,55.09090909,16.86363636,76.15454545,6.931090955,2023,7,7,Friday,,28.10606061,55.09090909,37.22934091,8.663863693,23.49852273,12.21703636,55.09090909
Bollaram Industrial Area,08-07-2023,0.562397059,20.71538824,14.33682353,53.05882353,16.47058824,77.60588235,9.005094118,2023,7,8,Saturday,,27.45098039,53.05882353,25.89423529,11.25636765,28.11985294,14.33682353,53.05882353
Bollaram Industrial Area,09-07-2023,0.493304167,28.0637,14.82985,49.5,19.45833333,76.25416667,7.546691708,2023,7,9,Sunday,,32.43055556,49.5,35.079625,9.433364635,24.66520833,14.82985,49.5
Bollaram Industrial Area,10-07-2023,0.55189,29.33050667,15.33765333,120.7333333,30.33333333,63.52,6.7334,2023,7,10,Monday,,49.87356322,114.1114094,36.66313333,8.41675,27.5945,15.33765333,114.1114094
Bollaram Industrial Area,11-07-2023,0.565820833,36.67018333,13.6024,91.70833333,33.41666667,82.32916667,7.297791708,2023,7,11,Tuesday,,55.08333333,91.70833333,45.83772917,9.122239635,28.29104167,13.6024,91.70833333
Bollaram Industrial Area,12-07-2023,0.648833333,33.94026667,14.7735,93.54166667,39.625,88.15833333,6.968108375,2023,7,12,Wednesday,,65.57327586,93.54166667,42.42533333,8.710135469,32.44166667,14.7735,93.54166667
Bollaram Industrial Area,13-07-2023,0.794820833,33.5063,14.42315,97.625,32.91666667,75.7375,4.773858338,2023,7,13,Thursday,,54.23850575,97.625,41.882875,5.967322922,39.74104167,14.42315,97.625
Bollaram Industrial Area,14-07-2023,0.7786,35.63696667,14.97603333,86.83333333,28.20833333,73.425,5.502,2023,7,14,Friday,,47.01388889,86.83333333,44.54620833,6.8775,38.93,14.97603333,86.83333333
Bollaram Industrial Area,15-07-2023,0.937945833,39.66956667,15.10098333,96.625,26.875,78.45,6.031458333,2023,7,15,Saturday,,44.79166667,96.625,49.58695833,7.539322917,46.89729167,15.10098333,96.625
Bollaram Industrial Area,16-07-2023,0.69701875,34.32488333,15.39008333,73.66666667,27.04166667,81.3875,3.668,2023,7,16,Sunday,,45.06944444,73.66666667,42.90610417,4.585,34.8509375,15.39008333,73.66666667
Bollaram Industrial Area,17-07-2023,0.823194737,33.88848421,15.00534737,59.26315789,21.52631579,83.28947368,4.514673684,2023,7,17,Monday,,35.87719298,59.26315789,42.36060526,5.643342105,41.15973684,15.00534737,59.26315789
Bollaram Industrial Area,18-07-2023,0.668503846,25.39735385,14.67889238,21.69230769,10.15384615,94.87692308,6.241646231,2023,7,18,Tuesday,,16.92307692,21.69230769,31.74669231,7.802057788,33.42519231,14.67889238,33.42519231
Bollaram Industrial Area,19-07-2023,0.433894737,28.02387368,16.99113684,27.63157895,11.73684211,94.04736842,4.811147368,2023,7,19,Wednesday,,19.56140351,27.63157895,35.02984211,6.013934211,21.69473684,16.99113684,35.02984211
Bollaram Industrial Area,20-07-2023,0.5868125,28.4632,12.89679975,25.5,10.25,89.95,2.711700025,2023,7,20,Thursday,,17.08333333,25.5,35.579,3.389625031,29.340625,12.89679975,35.579
Bollaram Industrial Area,21-07-2023,0.627107692,29.10818462,14.41504615,38.69230769,14.46153846,94.01538462,4.1396,2023,7,21,Friday,,24.1025641,38.69230769,36.38523077,5.1745,31.35538462,14.41504615,38.69230769
Bollaram Industrial Area,22-07-2023,0.795297917,28.24778333,15.77391667,49.66666667,20.58333333,89.92916667,4.581725,2023,7,22,Saturday,,34.30555556,49.66666667,35.30972917,5.72715625,39.76489583,15.77391667,49.66666667
Bollaram Industrial Area,23-07-2023,0.517158333,27.36888333,13.95683329,24.16666667,9.916666667,87.57083333,5.633,2023,7,23,Sunday,,16.52777778,24.16666667,34.21110417,7.04125,25.85791667,13.95683329,34.21110417
Bollaram Industrial Area,24-07-2023,0.557233333,29.21285,14.20183333,46.54166667,13.79166667,86.79583333,5.838233333,2023,7,24,Monday,,22.98611111,46.54166667,36.5160625,7.297791667,27.86166667,14.20183333,46.54166667
Bollaram Industrial Area,25-07-2023,0.658126087,29.27241739,14.43753043,52,19.65217391,94.12608696,7.060330435,2023,7,25,Tuesday,,32.75362319,52,36.59052174,8.825413043,32.90630435,14.43753043,52
Bollaram Industrial Area,26-07-2023,0.6268875,31.33568333,14.12751667,45.16666667,16.70833333,93.8625,5.091533333,2023,7,26,Wednesday,,27.84722222,45.16666667,39.16960417,6.364416667,31.344375,14.12751667,45.16666667
Bollaram Industrial Area,27-07-2023,0.1803375,19.23475,14.1953,20.54166667,9.75,96.325,5.008566625,2023,7,27,Thursday,,16.25,20.54166667,24.0434375,6.260708281,9.016875,14.1953,24.0434375
Bollaram Industrial Area,28-07-2023,0.221366667,22.34145,14.45336667,51.08333333,23.375,88.57916667,5.924475,2023,7,28,Friday,,38.95833333,51.08333333,27.9268125,7.40559375,11.06833333,14.45336667,51.08333333
Bollaram Industrial Area,29-07-2023,0.301039583,41.97413292,17.71595,81.5,26.63636364,83.03571429,4.307716667,2023,7,29,Saturday,,44.39393939,81.5,52.22391059,5.384645833,15.05197917,17.71595,81.5
Bollaram Industrial Area,30-07-2023,0.272891667,26.41948333,15.15733333,80.29166667,24.83333333,81.79583333,5.528199958,2023,7,30,Sunday,,41.38888889,80.29166667,33.02435417,6.910249948,13.64458333,15.15733333,80.29166667
Bollaram Industrial Area,31-07-2023,0.2982725,24.32626,15.3027,59.8,22.6,85.765,6.53297,2023,7,31,Monday,,37.66666667,59.8,30.407825,8.1662125,14.913625,15.3027,59.8
Central University,01-07-2023,0.26764375,46.00986667,24.99816667,26.45833333,4.125,46.875,4.0348,2023,7,1,Saturday,,6.875,26.45833333,57.29444786,5.0435,13.3821875,24.99816667,57.29444786
Central University,02-07-2023,0.232816667,48.79931667,39.0775,29.83333333,7.125,43.825,5.696316667,2023,7,2,Sunday,,11.875,29.83333333,60.79914145,7.120395833,11.64083333,39.0775,60.79914145
Central University,03-07-2023,0.21898125,47.29061667,40.89049958,29.5,6.75,43.175,3.492241671,2023,7,3,Monday,,11.25,29.5,58.9035953,4.365302089,10.9490625,40.89049958,58.9035953
Central University,04-07-2023,0.292929167,47.62275,31.30283333,27.25,6.875,44.3,4.176716625,2023,7,4,Tuesday,,11.45833333,27.25,59.32089103,5.220895781,14.64645833,31.30283333,59.32089103
Central University,05-07-2023,0.224229167,43.42408333,29.93083333,32,10.66666667,44.71666667,3.985675,2023,7,5,Wednesday,,17.77777778,32,54.04564316,4.98209375,11.21145833,29.93083333,54.04564316
Central University,06-07-2023,0.2204125,38.32693333,8.730166708,35.58333333,22.04166667,68,3.6811,2023,7,6,Thursday,,36.73611111,35.58333333,47.90866667,4.601375,11.020625,8.730166708,47.90866667
Central University,07-07-2023,0.232339583,38.0512,10.64933338,45.58333333,25.08333333,67.5,4.855733333,2023,7,7,Friday,,41.80555556,45.58333333,47.564,6.069666667,11.61697917,10.64933338,47.564
Central University,08-07-2023,0.227091667,31.0388,9.179333333,44.375,23.04166667,70.50416667,6.21595,2023,7,8,Saturday,,38.40277778,44.375,38.7985,7.7699375,11.35458333,9.179333333,44.375
Central University,09-07-2023,0.198466667,36.00278333,13.20550004,56.58333333,23.54166667,67.94166667,6.336033333,2023,7,9,Sunday,,39.23611111,56.58333333,45.00347917,7.920041667,9.923333333,13.20550004,56.58333333
Central University,10-07-2023,0.258579167,39.14316667,14.02216667,73.08333333,25.79166667,64.79166667,5.467066667,2023,7,10,Monday,,42.98611111,73.08333333,48.92895833,6.833833333,12.92895833,14.02216667,73.08333333
Central University,11-07-2023,0.251422917,36.11480042,25.47183333,68.41666667,27.58333333,72.22916667,4.412516667,2023,7,11,Tuesday,,45.97222222,68.41666667,45.14350052,5.515645833,12.57114583,25.47183333,68.41666667
Central University,12-07-2023,0.349225,36.0349,20.37583333,70.125,31.95833333,79.11666667,5.2662,2023,7,12,Wednesday,,52.61925287,70.125,45.043625,6.58275,17.46125,20.37583333,70.125
Central University,13-07-2023,0.210870833,33.64025,19.2815,81.91666667,32.45833333,68.40416667,4.857916708,2023,7,13,Thursday,,53.46408046,81.91666667,42.0503125,6.072395885,10.54354167,19.2815,81.91666667
Central University,14-07-2023,0.255239583,35.10351667,22.589,57.45833333,29.58333333,65.39583333,4.3361,2023,7,14,Friday,,49.30555556,57.45833333,43.87939583,5.420125,12.76197917,22.589,57.45833333
Central University,15-07-2023,0.272414583,29.93978333,17.47666667,52.91666667,29.66666667,68.02083333,4.0479,2023,7,15,Saturday,,49.44444444,52.91666667,37.42472917,5.059875,13.62072917,17.47666667,52.91666667
Central University,16-07-2023,0.209916667,26.7853,24.31216667,54.16666667,29.08333333,71.50833333,5.206158292,2023,7,16,Sunday,,48.47222222,54.16666667,33.481625,6.507697865,10.49583333,24.31216667,54.16666667
Central University,17-07-2023,0.272891667,23.30886667,21.20883329,50.29166667,30.04166667,72.6625,6.367691754,2023,7,17,Monday,,49.38074713,50.29166667,29.13608333,7.959614693,13.64458333,21.20883329,50.29166667
Central University,18-07-2023,0.25905625,19.88961667,28.0035,35.45833333,22.5,82.6875,5.0304,2023,7,18,Tuesday,,37.5,35.45833333,24.86202083,6.288,12.9528125,28.0035,37.5
Central University,19-07-2023,0.211825,15.61152,35.6328,34.5,25.6,83.99,4.6767,2023,7,19,Wednesday,,42.66666667,34.5,19.5144,5.845875,10.59125,35.6328,42.66666667
Central University,20-07-2023,0.2547625,27.08453333,16.57833333,31,14.83333333,84.21666667,4.2182,2023,7,20,Thursday,,24.72222222,31,33.85566667,5.27275,12.738125,16.57833333,33.85566667
Central University,21-07-2023,0.324641176,29.31583529,18.06658818,32.76470588,23.64705882,81.13529412,6.998482353,2023,7,21,Friday,,39.41176471,32.76470588,36.64479412,8.748102941,16.23205882,18.06658818,39.41176471
Central University,22-07-2023,0.2719375,34.69931667,24.16516667,47.91666667,29.79166667,78.44166667,6.22905,2023,7,22,Saturday,,49.65277778,47.91666667,43.37414583,7.7863125,13.596875,24.16516667,49.65277778
Central University,23-07-2023,0.203714583,36.46808333,32.98516667,39.25,23.08333333,76.9375,5.021666667,2023,7,23,Sunday,,38.47222222,39.25,45.58510417,6.277083333,10.18572917,32.98516667,45.58510417
Central University,24-07-2023,0.268120833,41.26991667,28.15866625,40.75,19.20833333,76.69583333,4.957258333,2023,7,24,Monday,,32.01388889,40.75,51.33912607,6.196572917,13.40604167,28.15866625,51.33912607
Central University,25-07-2023,0.156960417,35.63696667,36.05583292,32.70833333,14.45833333,82.375,3.926724958,2023,7,25,Tuesday,,24.09722222,32.70833333,44.54620833,4.908406198,7.848020833,36.05583292,44.54620833
Central University,26-07-2023,0.1860625,35.55785,30.00433333,33.95833333,17.125,81.7375,5.106816667,2023,7,26,Wednesday,,28.54166667,33.95833333,44.4473125,6.383520833,9.303125,30.00433333,44.4473125
Central University,27-07-2023,0.169364583,33.2572,32.86266667,27.79166667,18.16666667,82.9625,4.824075,2023,7,27,Thursday,,30.27777778,27.79166667,41.5715,6.03009375,8.468229167,32.86266667,41.5715
Central University,28-07-2023,0.208485417,37.07986667,29.498,45.58333333,26.41666667,77.18333333,5.003108333,2023,7,28,Friday,,44.02777778,45.58333333,46.34983333,6.253885417,10.42427083,29.498,46.34983333
Central University,29-07-2023,0.186539583,39.78158333,24.31216667,49.375,25.125,72.05,3.558833333,2023,7,29,Saturday,,41.875,49.375,49.72697917,4.448541667,9.326979167,24.31216667,49.72697917
Central University,30-07-2023,0.179860417,44.0813,21.49466671,52.79166667,28.25,71.625,3.4584,2023,7,30,Sunday,,47.08333333,52.79166667,54.87137692,4.323,8.993020833,21.49466671,54.87137692
