station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-06-2023,1.244067391,51.9533913,10.16132178,213.4782609,84.7826087,49.4826087,29.2016087,2023,6,1,Thursday,,182.1889055,175.733878,64.76195318,36.50201087,62.95930217,10.16132178,182.1889055
Bollaram Industrial Area,02-06-2023,0.937406522,29.68193043,9.639791261,141,45.7826087,46.52608696,29.78142565,2023,6,2,Friday,,75.97751124,127.5771812,37.10241304,37.22678207,46.87032609,9.639791261,127.5771812
Bollaram Industrial Area,03-06-2023,1.127825,31.88793333,9.885749958,170.7916667,57.70833333,44.1125,57.53410833,2023,6,3,Saturday,,96.12787356,147.3716443,39.85991667,71.77362329,57.263425,9.885749958,147.3716443
Bollaram Industrial Area,04-06-2023,1.138797917,32.0869,11.30919992,131.75,45.45833333,58.6875,29.97825833,2023,6,4,Sunday,,75.4295977,121.4312081,40.108625,37.47282292,57.80109792,11.30919992,121.4312081
Bollaram Industrial Area,05-06-2023,1.110172917,29.53558333,14.32433333,140.7083333,61.5,59.94166667,34.79141667,2023,6,5,Monday,,102.7068966,127.3833893,36.91947917,43.48927083,56.39847292,14.32433333,127.3833893
Bollaram Industrial Area,06-06-2023,1.353389958,46.17358333,12.10952525,198.9583333,65.5,53.66708333,39.5532445,2023,6,6,Tuesday,,116.362069,166.0864094,57.50014316,49.44155563,68.31610796,12.10952525,166.0864094
Bollaram Industrial Area,07-06-2023,1.082955854,26.27923533,9.591114542,147.9583333,50.33333333,54.99245833,42.49303974,2023,6,7,Wednesday,,83.66666667,132.2005034,32.84904417,52.87587044,55.06483685,9.591114542,132.2005034
Bollaram Industrial Area,08-06-2023,0.766936391,38.18541565,10.2965957,140.3913043,42.7826087,55.74773913,27.58410148,2023,6,8,Thursday,,70.90854573,127.1727458,47.73176957,34.48012685,38.34681957,10.2965957,127.1727458
Bollaram Industrial Area,09-06-2023,1.229920833,27.25765,10.66485,112.9583333,33.58333333,56.525,26.99800838,2023,6,9,Friday,,55.36494253,108.9454698,34.0720625,33.74751047,62.26612083,10.66485,108.9454698
Bollaram Industrial Area,10-06-2023,1.305777083,30.5077,10.18465004,100.8333333,27.5,57.9125,19.26900833,2023,6,10,Saturday,,45.83333333,100.8892617,38.134625,24.08626042,65.98307708,10.18465004,100.8892617
