station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-05-2023,1.08631875,24.98206667,10.28183333,36.83333333,18.75,80.075,9.512783292,2023,5,1,Monday,,31.25,36.83333333,31.22758333,11.89097911,55.22961875,10.28183333,55.22961875
Bollaram Industrial Area,02-05-2023,0.99615,24.20265,10.44843333,41.83333333,16.95833333,75.93333333,9.249691583,2023,5,2,Tuesday,,28.26388889,41.83333333,30.2533125,11.56211448,49.8075,10.44843333,49.8075
Bollaram Industrial Area,03-05-2023,1.120338462,25.58246154,11.47353846,82.07692308,25.53846154,63.26923077,8.216723154,2023,5,3,Wednesday,,42.56410256,82.07692308,31.97807692,10.27090394,56.89658462,11.47353846,82.07692308
Bollaram Industrial Area,04-05-2023,1.257591667,21.42495,11.05766667,62.08333333,17.29166667,72.9625,7.952791625,2023,5,4,Thursday,,28.81944444,62.08333333,26.7811875,9.940989531,63.62199167,11.05766667,63.62199167
Bollaram Industrial Area,05-05-2023,1.129188095,25.2788381,11.09826667,73.14285714,21.9047619,71.29047619,7.891190476,2023,5,5,Friday,,36.50793651,73.14285714,31.59854762,9.863988095,57.33021667,11.09826667,73.14285714
Bollaram Industrial Area,06-05-2023,1.228966667,32.71513333,10.84125,113,37.33333333,70.22083333,11.01928333,2023,5,6,Saturday,,61.70114943,108.9731544,40.89391667,13.77410417,62.21936667,10.84125,108.9731544
Bollaram Industrial Area,07-05-2023,1.178829545,31.14903636,11.25396364,92.81818182,32.86363636,65.92727273,8.604318182,2023,5,7,Sunday,,54.14890282,92.81818182,38.93629545,10.75539773,59.76264773,11.25396364,92.81818182
Bollaram Industrial Area,08-05-2023,1.102471429,24.59577143,13.39986667,95.61904762,35.85714286,60.36190476,9.766361905,2023,5,8,Monday,,59.20689655,95.61904762,30.74471429,12.20795238,56.0211,13.39986667,95.61904762
Bollaram Industrial Area,09-05-2023,1.469416667,26.57849996,19.55263333,109.625,36.375,63.8125,20.78860833,2023,5,9,Tuesday,,60.08189655,106.7307047,33.22312495,25.98576042,74.00141667,19.55263333,106.7307047
Bollaram Industrial Area,10-05-2023,1.175982353,39.18694118,13.43291765,134.1764706,48.29411765,57.94705882,14.41000012,2023,5,10,Wednesday,,80.22109533,123.0434268,48.98367647,18.01250015,59.62313529,13.43291765,123.0434268
Bollaram Industrial Area,11-05-2023,1.148339583,48.65753333,12.4558,169.4166667,68.04166667,54.5125,13.40239167,2023,5,11,Thursday,,125.0387931,146.4580537,60.62100342,16.75298958,58.26863958,12.4558,146.4580537
Bollaram Industrial Area,12-05-2023,0.79901087,48.26368696,10.7982,191.4782609,65.08695652,50.2826087,26.71716522,2023,5,12,Friday,,114.952024,161.1164284,60.12617079,33.39645652,39.95054348,10.7982,161.1164284
Bollaram Industrial Area,13-05-2023,1.282877083,59.09153333,,219.2916667,64.83333333,46.24583333,22.69793333,2023,5,13,Saturday,,114.0862069,179.5964765,73.73038803,28.37241667,64.86097708,0,179.5964765
Bollaram Industrial Area,14-05-2023,1.375908333,47.41046667,,174.2083333,52.95833333,45.64583333,33.51093913,2023,5,14,Sunday,,88.10201149,149.6417785,59.05417607,41.88867391,69.41950833,0,149.6417785
Bollaram Industrial Area,15-05-2023,1.3969,39.28651708,8.414430769,199.9583333,46.83333333,45.27083333,34.95844167,2023,5,15,Monday,,77.75287356,166.7508389,49.10814635,43.69805208,70.4481,8.414430769,166.7508389
Bollaram Industrial Area,16-05-2023,1.375908333,53.95208375,9.488033458,192.9166667,49.45833333,43.11666667,50.438275,2023,5,16,Tuesday,,82.18821839,162.0721477,67.27313087,62.85834551,69.41950833,9.488033458,162.0721477
Bollaram Industrial Area,17-05-2023,1.201752174,36.43113087,9.133599957,146.25,45.05,44.03043478,39.33303478,2023,5,17,Wednesday,,74.73965517,131.0654362,45.53891359,49.16629348,60.88585652,9.133599957,131.0654362
Bollaram Industrial Area,18-05-2023,1.2932775,47.1522795,9.23944005,144.3,42.65,42.355,30.88849,2023,5,18,Thursday,,70.68448276,129.7697987,58.72978706,38.6106125,65.3705975,9.23944005,129.7697987
Bollaram Industrial Area,19-05-2023,0.949395833,40.63228333,9.148300125,173.0416667,61.75,45.58333333,31.5055,2023,5,19,Friday,,103.5603448,148.8666107,50.53799701,39.381875,47.46979167,9.148300125,148.8666107
Bollaram Industrial Area,20-05-2023,1.046720833,29.62566708,10.33083338,141.1666667,48.75,51.66666667,14.85430833,2023,5,20,Saturday,,80.99137931,127.6879195,37.03208385,18.56788542,53.28932083,10.33083338,127.6879195
Bollaram Industrial Area,21-05-2023,1.102539583,27.76289996,11.32880008,115.9583333,42.29166667,50.77083333,21.54513338,2023,5,21,Sunday,,70.07902299,110.9387584,34.70362495,26.93141672,56.02443958,11.32880008,110.9387584
Bollaram Industrial Area,22-05-2023,0.846697368,25.98258947,8.900463211,81.15789474,33.21052632,61.46315789,13.73845263,2023,5,22,Monday,,54.73502722,81.15789474,32.47823684,17.17306579,42.33486842,8.900463211,81.15789474
Bollaram Industrial Area,23-05-2023,1.27324,35.37282667,13.00264007,139.8666667,51,52.26666667,12.84848,2023,5,23,Tuesday,,84.79310345,126.8241611,44.21603333,16.0606,64.38876,13.00264007,126.8241611
Bollaram Industrial Area,24-05-2023,1.082502083,45.60801792,8.997216833,160.6666667,56.41666667,52.875,42.71036667,2023,5,24,Wednesday,,93.9454023,140.6442953,56.78956097,53.14892222,55.04260208,8.997216833,140.6442953
Bollaram Industrial Area,25-05-2023,1.258227778,34.2358445,9.096577778,133.1666667,42.88888889,55.81666667,29.21008889,2023,5,25,Thursday,,71.08812261,122.3724832,42.79480563,36.51261111,63.65316111,9.096577778,122.3724832
Bollaram Industrial Area,26-05-2023,0.982938462,29.60132308,10.46489238,113.2307692,34.53846154,44.03846154,23.88835385,2023,5,26,Friday,,56.97877984,109.1264843,37.00165385,29.86044231,49.14692308,10.46489238,109.1264843
Bollaram Industrial Area,27-05-2023,0.990945455,46.61032727,9.843654636,138.9545455,48.90909091,50.19090909,59.3037,2023,5,27,Saturday,,81.26018809,126.2181208,58.04887273,73.99695641,49.54727273,9.843654636,126.2181208
Bollaram Industrial Area,28-05-2023,1.381633333,26.05836667,9.555000083,117.3333333,54.08333333,44.81666667,13.60871667,2023,5,28,Sunday,,90.00287356,111.852349,32.57295833,17.01089583,69.70003333,9.555000083,111.852349
Bollaram Industrial Area,29-05-2023,1.50996875,33.93243333,10.08583333,141.75,55.875,48.625,25.5188,2023,5,29,Monday,,93.03017241,128.0755034,42.41554167,31.8985,75.98846875,10.08583333,128.0755034
Bollaram Industrial Area,30-05-2023,1.057216667,31.68975,9.669333333,133.0416667,48.47058824,57.78333333,15.53114167,2023,5,30,Tuesday,,80.51926978,122.2894295,39.6121875,19.41392708,53.80361667,9.669333333,122.2894295
Bollaram Industrial Area,31-05-2023,1.325019444,30.99702222,9.693288889,145.8333333,51.83333333,59.57777778,18.7985,2023,5,31,Wednesday,,86.20114943,130.7885906,38.74627778,23.498125,66.92595278,9.693288889,130.7885906
Central University,01-05-2023,0.405954545,22.69843636,27.08363636,38.36363636,12.72727273,66.39090909,1.648218182,2023,5,1,Monday,,21.21212121,38.36363636,28.37304545,2.060272727,20.29772727,27.08363636,38.36363636
Central University,02-05-2023,0.285486667,19.18226667,55.925334,31.33333333,10.73333333,65.37333333,5.227773333,2023,5,2,Tuesday,,17.88888889,31.33333333,23.97783333,6.534716667,14.27433333,55.925334,55.925334
