station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-11-2023,0.716102096,23.57206667,40.17755,117.375,70.08333333,66.62083333,10.35009175,2023,11,1,Wednesday,,132.0086207,111.8800336,29.46508333,12.93761469,35.80510479,40.17755,132.0086207
Bollaram Industrial Area,02-11-2023,0.57965625,23.0817,42.77291667,78.5,49.16666667,70.90833333,10.31843338,2023,11,2,Thursday,,81.6954023,78.5,28.852125,12.89804172,28.9828125,42.77291667,81.6954023
Bollaram Industrial Area,03-11-2023,0.584904167,22.419,40.52545,76.125,44.625,73.03333333,9.941808417,2023,11,3,Friday,,74.02155172,76.125,28.02375,12.42726052,29.24520833,40.52545,76.125
Bollaram Industrial Area,04-11-2023,0.554847917,21.009,40.27065,88.20833333,49.375,74.42083333,9.69181675,2023,11,4,Saturday,,82.04741379,88.20833333,26.26125,12.11477094,27.74239583,40.27065,88.20833333
Bollaram Industrial Area,05-11-2023,0.626410417,21.52051667,39.9007,103.2083333,66.75,70.83333333,18.539775,2023,11,5,Sunday,,120.6293103,102.4672819,26.90064583,23.17471875,31.32052083,39.9007,120.6293103
Bollaram Industrial Area,06-11-2023,0.569160417,25.23273333,39.66305,70.29166667,36.70833333,75.2875,10.70597508,2023,11,6,Monday,,60.64511494,70.29166667,31.54091667,13.38246885,28.45802083,39.66305,70.29166667
Bollaram Industrial Area,07-11-2023,0.460385417,20.05098333,39.57893333,51.33333333,24.33333333,76.82083333,9.278075,2023,11,7,Tuesday,,40.55555556,51.33333333,25.06372917,11.59759375,23.01927083,39.57893333,51.33333333
Bollaram Industrial Area,08-11-2023,0.521929167,19.33501667,38.39231667,53.75,39.08333333,80.47083333,7.255216708,2023,11,8,Wednesday,,64.65804598,53.75,24.16877083,9.069020885,26.09645833,38.39231667,64.65804598
Bollaram Industrial Area,09-11-2023,0.614960417,26.27221667,38.49603333,92.91666667,55.66666667,74.8625,9.856658375,2023,11,9,Thursday,,92.67816092,92.91666667,32.84027083,12.32082297,30.74802083,38.49603333,92.91666667
Bollaram Industrial Area,10-11-2023,0.681752083,28.388,38.2249,129.125,72.91666667,68.27083333,11.32713338,2023,11,10,Friday,,141.6810345,119.6870805,35.485,14.15891672,34.08760417,38.2249,141.6810345
Bollaram Industrial Area,11-11-2023,0.683660417,26.13748333,38.05748333,119.4166667,68.125,59.99583333,12.13169167,2023,11,11,Saturday,,125.3232759,113.2365772,32.67185417,15.16461458,34.18302083,38.05748333,125.3232759
Bollaram Industrial Area,12-11-2023,0.590629167,24.49718333,37.90313333,152.4166667,103.9583333,59.59166667,19.279925,2023,11,12,Sunday,,245.237069,135.1627517,30.62147917,24.09990625,29.53145833,37.90313333,245.237069
Bollaram Industrial Area,13-11-2023,0.59683125,20.35648333,37.88108333,132.25,91.54166667,60.075,16.076975,2023,11,13,Monday,,202.8491379,121.7634228,25.44560417,20.09621875,29.8415625,37.88108333,202.8491379
Bollaram Industrial Area,14-11-2023,0.670302083,22.14953329,40.03136667,134.0833333,88.95833333,63.24583333,15.29970833,2023,11,14,Tuesday,,196.4439655,122.9815436,27.68691661,19.12463542,33.51510417,40.03136667,196.4439655
Bollaram Industrial Area,15-11-2023,0.596831254,20.71133333,37.85495,139.0833333,93.54166667,62.41666667,17.75595833,2023,11,15,Wednesday,,209.6767241,126.3036913,25.88916667,22.19494792,29.84156271,37.85495,209.6767241
Bollaram Industrial Area,16-11-2023,0.627364592,26.37405,37.89088333,139.6666667,93.75,61.15,19.86615,2023,11,16,Thursday,,210.387931,126.6912752,32.9675625,24.8326875,31.36822958,37.89088333,210.387931
Bollaram Industrial Area,17-11-2023,0.850162504,32.99556667,37.84596667,149.4583333,91.29166667,60.42083333,15.284425,2023,11,17,Friday,,201.9956897,133.1971477,41.24445833,19.10553125,42.50812521,37.84596667,201.9956897
Bollaram Industrial Area,18-11-2023,0.722304167,29.36951667,37.97663333,110.7916667,64.375,66.39166667,8.522641667,2023,11,18,Saturday,,112.5215517,107.5058725,36.71189583,10.65330208,36.11520833,37.97663333,112.5215517
Bollaram Industrial Area,19-11-2023,0.543397917,21.58083333,38.47316667,75.16666667,46.95833333,69.85,6.92335,2023,11,19,Sunday,,77.96408046,75.16666667,26.97604167,8.6541875,27.16989583,38.47316667,77.96408046
Bollaram Industrial Area,20-11-2023,0.441302083,22.748,38.35556667,75.66666667,44.83333333,65.44166667,10.75619167,2023,11,20,Monday,,74.37356322,75.66666667,28.435,13.44523958,22.06510417,38.35556667,75.66666667
Bollaram Industrial Area,21-11-2023,0.511910421,24.31075,37.975,83,50.875,68.76666667,11.19067508,2023,11,21,Tuesday,,84.58189655,83,30.3884375,13.98834385,25.59552104,37.975,84.58189655
Bollaram Industrial Area,22-11-2023,0.570114583,27.34851667,38.22816667,72.70833333,35.25,73.04166667,8.535741708,2023,11,22,Wednesday,,58.18103448,72.70833333,34.18564583,10.66967714,28.50572917,38.22816667,72.70833333
Bollaram Industrial Area,23-11-2023,0.475175,24.07105,38.20366667,38.25,26.83333333,88.17083333,7.32945,2023,11,23,Thursday,,44.72222222,38.25,30.0888125,9.1618125,23.75875,38.20366667,44.72222222
Bollaram Industrial Area,24-11-2023,0.559777778,24.11831111,38.56844444,69.05555556,47.05555556,85.27777778,7.503388889,2023,11,24,Friday,,78.12835249,69.05555556,30.14788889,9.379236111,27.98888889,38.56844444,78.12835249
Bollaram Industrial Area,25-11-2023,0.6039875,23.56031667,38.65773333,89.125,58.79166667,75.65833333,8.132916625,2023,11,25,Saturday,,97.95833333,89.125,29.45039583,10.16614578,30.199375,38.65773333,97.95833333
Bollaram Industrial Area,26-11-2023,0.732322917,22.47226667,38.90273333,110.25,82.95833333,77.74583333,9.489858333,2023,11,26,Sunday,,175.9612069,107.1459732,28.09033333,11.86232292,36.61614583,38.90273333,175.9612069
Bollaram Industrial Area,27-11-2023,0.62831875,21.36541667,39.06443333,106.0833333,76.79166667,74.14166667,9.466933458,2023,11,27,Monday,,154.9094828,104.3775168,26.70677083,11.83366682,31.4159375,39.06443333,154.9094828
Bollaram Industrial Area,28-11-2023,0.523837504,20.16613333,38.85291667,65.33333333,44.66666667,73.80833333,8.56521675,2023,11,28,Tuesday,,74.09195402,65.33333333,25.20766667,10.70652094,26.19187521,38.85291667,74.09195402
