station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-10-2023,0.501105882,22.02364706,38.36872941,44.76470588,19.82352941,80.13529412,12.97516471,2023,10,1,Sunday,,33.03921569,44.76470588,27.52955882,16.21895588,25.05529412,38.36872941,44.76470588
Bollaram Industrial Area,03-10-2023,0.564866667,23.6269,39.75043333,114.6666667,47.08333333,74.51666667,7.8731,2023,10,3,Tuesday,,78.17528736,110.0805369,29.533625,9.841375,28.24333333,39.75043333,110.0805369
Bollaram Industrial Area,04-10-2023,0.612575,30.83591667,38.94111667,144.7083333,50.54166667,73.24583333,12.343475,2023,10,4,Wednesday,,84.01867816,130.0411074,38.54489583,15.42934375,30.62875,38.94111667,130.0411074
Bollaram Industrial Area,05-10-2023,0.739002083,32.69946667,39.10363333,138.2083333,56.91666667,67.54583333,18.29524167,2023,10,5,Thursday,,94.79022989,125.7223154,40.87433333,22.86905208,36.95010417,39.10363333,125.7223154
Bollaram Industrial Area,06-10-2023,0.646925,33.67001662,38.9256,146.3333333,49.75,65.55833333,19.00264171,2023,10,6,Friday,,82.68103448,131.1208054,42.08752078,23.75330214,32.34625,38.9256,131.1208054
Bollaram Industrial Area,07-10-2023,0.740910421,40.71923333,38.94601667,191.2916667,69.5,65.82916667,34.24121704,2023,10,7,Saturday,,130.0172414,160.9924497,50.64724188,42.8015213,37.04552104,38.94601667,160.9924497
Bollaram Industrial Area,08-10-2023,0.668870838,36.74851708,39.37885,143.2916667,58,62.99583333,18.42733333,2023,10,8,Sunday,,96.62068966,129.0998322,45.93564635,23.03416667,33.44354188,39.37885,129.0998322
Bollaram Industrial Area,09-10-2023,0.684137508,38.97709996,39.38538333,144.8333333,59.41666667,62.58333333,13.889275,2023,10,9,Monday,,99.01436782,130.1241611,48.72137495,17.36159375,34.20687542,39.38538333,130.1241611
Bollaram Industrial Area,10-10-2023,0.706560417,36.3921,38.68141667,135,63.70833333,63.20416667,13.057425,2023,10,10,Tuesday,,110.2456897,123.590604,45.490125,16.32178125,35.32802083,38.68141667,123.590604
Bollaram Industrial Area,11-10-2023,0.520020833,25.75521667,38.88803333,105.6666667,49.41666667,64.8875,5.625358333,2023,10,11,Wednesday,,82.11781609,104.1006711,32.19402083,7.031697917,26.00104167,38.88803333,104.1006711
