station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-09-2023,0.44511875,24.9288,33.20975,163.7916667,57.54166667,70.82916667,6.505241667,2023,9,1,Friday,,95.84626437,142.7206376,31.161,8.131552083,22.2559375,33.20975,142.7206376
Bollaram Industrial Area,02-09-2023,0.484716667,28.71543333,32.88308333,136.9583333,52.20833333,71.775,5.982333333,2023,9,2,Saturday,,86.83477011,124.8917785,35.89429167,7.477916667,24.23583333,32.88308333,124.8917785
Bollaram Industrial Area,03-09-2023,0.35495,24.2661,33.65565,49.125,27.66666667,85.69583333,4.962716667,2023,9,3,Sunday,,46.11111111,49.125,30.332625,6.203395833,17.7475,33.65565,49.125
Bollaram Industrial Area,04-09-2023,0.38500625,29.44785,33.4474,56,32.95833333,93.87916667,4.937608333,2023,9,4,Monday,,54.30890805,56,36.8098125,6.172010417,19.2503125,33.4474,56
Bollaram Industrial Area,05-09-2023,0.385317391,29.26751304,33.8526087,49.17391304,25.43478261,94.4826087,6.226486957,2023,9,5,Tuesday,,42.39130435,49.17391304,36.5843913,7.783108696,19.26586957,33.8526087,49.17391304
Bollaram Industrial Area,06-09-2023,0.514772917,31.94668333,33.40085,85.95833333,35.79166667,88.28333333,7.689700083,2023,9,6,Wednesday,,59.09626437,85.95833333,39.93335417,9.612125104,25.73864583,33.40085,85.95833333
Bollaram Industrial Area,07-09-2023,0.440825,28.94103333,33.65238333,45.95833333,21,87.225,5.363358333,2023,9,7,Thursday,,35,45.95833333,36.17629167,6.704197917,22.04125,33.65238333,45.95833333
Bollaram Industrial Area,08-09-2023,0.370216667,26.87068333,32.92963333,32.04166667,15.5,85.9125,7.843625,2023,9,8,Friday,,25.83333333,32.04166667,33.58835417,9.80453125,18.51083333,32.92963333,33.58835417
Bollaram Industrial Area,09-09-2023,0.345885417,36.94513333,34.72303333,32.625,14.66666667,86.05238095,11.61096667,2023,9,9,Saturday,,24.44444444,32.625,46.18141667,14.51370833,17.29427083,34.72303333,46.18141667
Bollaram Industrial Area,10-09-2023,0.635952083,70.35351667,38.60383333,46.04166667,24.45833333,,14.05848333,2023,9,10,Sunday,,40.76388889,46.04166667,87.8800594,17.57310417,31.79760417,38.60383333,87.8800594
